Movie,Rating,URL
The Godfather,98,https://www.rottentomatoes.com/m/godfather
It’s a Wonderful Life,95,https://www.rottentomatoes.com/m/its_a_wonderful_life
Once Upon A Time In The West ,95,https://www.rottentomatoes.com/m/once_upon_a_time_in_the_west
Forrest Gump,95,https://www.rottentomatoes.com/m/forrest_gump
Amélie,95,https://www.rottentomatoes.com/m/amelie
Psycho,94,https://www.rottentomatoes.com/m/psycho
Reservoir Dogs,94,https://www.rottentomatoes.com/m/reservoir_dogs
Whiplash,94,https://www.rottentomatoes.com/m/whiplash_2014
L.A. Confidential ,94,https://www.rottentomatoes.com/m/la_confidential
Star Wars: Return Of The Jedi,94,https://www.rottentomatoes.com/m/star_wars_episode_vi_return_of_the_jedi
Stand By Me,94,https://www.rottentomatoes.com/m/stand_by_me_1986
Good Will Hunting,94,https://www.rottentomatoes.com/m/good_will_hunting
The Princess Bride,94,https://www.rottentomatoes.com/m/princess_bride
Lawrence Of Arabia,93,https://www.rottentomatoes.com/m/lawrence_of_arabia
Vertigo,93,https://www.rottentomatoes.com/m/vertigo
American Beauty,93,https://www.rottentomatoes.com/m/american_beauty
Raging Bull,93,https://www.rottentomatoes.com/m/raging_bull
The Prestige (2006),92,https://www.rottentomatoes.com/m/prestige
Pan's Labyrinth,91,https://www.rottentomatoes.com/m/pans_labyrinth
Inception,91,https://www.rottentomatoes.com/m/inception
Hot Fuzz,89,https://www.rottentomatoes.com/m/hot_fuzz
Captain America: Civil War,89,https://www.rottentomatoes.com/m/captain_america_civil_war
The Terminator (1984),89,https://www.rottentomatoes.com/m/terminator
Ghostbusters (1984 original),88,https://www.rottentomatoes.com/m/ghostbusters
Inglourious Basterds,87,https://www.rottentomatoes.com/m/inglourious_basterds
Mulholland Drive,87,https://www.rottentomatoes.com/m/mulholland_dr
the Exorcist,87,https://www.rottentomatoes.com/m/exorcist
 Caddyshack,87,https://www.rottentomatoes.com/m/caddyshack
 The Fifth Element ,86,https://www.rottentomatoes.com/m/fifth_element
Lost In Translation,85,https://www.rottentomatoes.com/m/lost_in_translation
Open Range,83,https://www.rottentomatoes.com/m/open_range
Arrival ,82,https://www.rottentomatoes.com/m/arrival_2016
Now and Then,82,https://www.rottentomatoes.com/m/now_and_then
La La Land,81,https://www.rottentomatoes.com/m/la_la_land
 Donnie Darko,80,https://www.rottentomatoes.com/m/donnie_darko
Cars,79,https://www.rottentomatoes.com/m/cars
Sherlock Holmes,77,https://www.rottentomatoes.com/m/sherlock_holmes_2009
At Close Range,78,https://www.rottentomatoes.com/m/at_close_range
 A Walk to Remember ,78,https://www.rottentomatoes.com/m/walk_to_remember
Law Abiding Citizen,75,https://www.rottentomatoes.com/m/law_abiding_citizen
 Napoleon Dynamite ,74,https://www.rottentomatoes.com/m/napoleon_dynamite
 Big Daddy,74,https://www.rottentomatoes.com/m/big_daddy
 My Big Fat Greek Wedding,73,https://www.rottentomatoes.com/m/my_big_fat_greek_wedding
 Talladega Nights: The Ballad of Ricky Bobby,73,https://www.rottentomatoes.com/m/talladega_nights_the_ballad_of_ricky_bobby
E.T. The Extra-Terrestrial,72,https://www.rottentomatoes.com/m/et_the_extraterrestrial
 Megamind ,72,https://www.rottentomatoes.com/m/megamind
 Over the Hedge,71,https://www.rottentomatoes.com/m/over_the_hedge
 Coyote Ugly,71,https://www.rottentomatoes.com/m/coyote_ugly
Wedding Crashers,70,https://www.rottentomatoes.com/m/wedding_crashers
Titanic,69,https://www.rottentomatoes.com/m/titanic
 Miss Congeniality,69,https://www.rottentomatoes.com/m/miss_congeniality
 A Night at the Roxbury,69,https://www.rottentomatoes.com/m/night_at_the_roxbury
 Cloverfield,68,https://www.rottentomatoes.com/m/cloverfield
The Girl Who Played with Fire,68,https://www.rottentomatoes.com/m/girl_who_played_with_fire
The First Wives Club,68,https://www.rottentomatoes.com/m/first_wives_club
 Nick and Norah's Infinite Playlist,65,https://www.rottentomatoes.com/m/nick_and_norahs_infinite_playlist
The Road to El Dorado,65,https://www.rottentomatoes.com/m/road_to_el_dorado
Joe Dirt,63,https://www.rottentomatoes.com/m/joe_dirt
The Other Boleyn Girl,62,https://www.rottentomatoes.com/m/other_boleyn_girl
Bangkok Dangerous,62,https://www.rottentomatoes.com/m/bangkok_dangerous_1999
Everything's Gone Green,60,https://www.rottentomatoes.com/m/everythings_gone_green
Chasing Liberty,60,https://www.rottentomatoes.com/m/chasing_liberty
Derailed,58,https://www.rottentomatoes.com/m/derailed
 Bruce Almighty,57,https://www.rottentomatoes.com/m/bruce_almighty
 Good Luck Chuck,57,https://www.rottentomatoes.com/m/good_luck_chuck
Cheaper by the Dozen,56,https://www.rottentomatoes.com/m/cheaper_by_the_dozen
Head over Heels ,56,https://www.rottentomatoes.com/m/head_over_heels_2001
8 MIle,54,https://www.rottentomatoes.com/m/8_mile
 Employee of the Month,51,https://www.rottentomatoes.com/m/1141892_employee_of_the_month?
 Love & Other Drugs ,53,https://www.rottentomatoes.com/m/love_and_other_drugs?
 Drive Me Crazy,52,https://www.rottentomatoes.com/m/drive_me_crazy
Failure to Launch,52,https://www.rottentomatoes.com/m/failure_to_launch
 Shrek the Third,52,https://www.rottentomatoes.com/m/shrek_3
 No Strings Attached,51,https://www.rottentomatoes.com/m/no_strings_attached_2011
The Bounty Hunter,51,https://www.rottentomatoes.com/m/1220551_bounty_hunter?
 Beowulf,50,https://www.rottentomatoes.com/m/beowulf
The Seventh Sign,50,https://www.rottentomatoes.com/m/seventh_sign
The Bedroom Window,49,https://www.rottentomatoes.com/m/bedroom_window
 Curly Sue,49,https://www.rottentomatoes.com/m/curly_sue
 The Postman,49,https://www.rottentomatoes.com/m/postman
 Confessions of a Shopaholic,48,https://www.rottentomatoes.com/m/confessions_of_a_shopaholic
Along Came Polly,47,https://www.rottentomatoes.com/m/along_came_polly
Lara Croft: Tomb Raider,47,https://www.rottentomatoes.com/m/lara_croft_tomb_raider
Catch That Kid,47,https://www.rottentomatoes.com/m/catch_that_kid
 Material Girls,44,https://www.rottentomatoes.com/m/material_girls
 In the Army Now,44,https://www.rottentomatoes.com/m/in_the_army_now
Lawless Range,43,https://www.rottentomatoes.com/m/lawless_range
Maid in Manhattan,43,https://www.rottentomatoes.com/m/maid_in_manhattan
 You Again,43,https://www.rottentomatoes.com/m/you_again
 Sex and the City 2,43,https://www.rottentomatoes.com/m/sex_and_the_city_2
 Dinner for Schmucks,42,https://www.rottentomatoes.com/m/dinner_for_schmucks
House of Wax ,41,https://www.rottentomatoes.com/m/house_of_wax_2005
Down to Earth,40,https://www.rottentomatoes.com/m/1104813-down_to_earth
 Charlie's Angels: Full Throttle ,40,https://www.rottentomatoes.com/m/charlies_angels_full_throttle
Blame it on Rio,39,https://www.rottentomatoes.com/m/blame_it_on_rio
 Class Reunion,39,https://www.rottentomatoes.com/m/national_lampoons_class_reunion
Max Keeble's Big Move,38,https://www.rottentomatoes.com/m/max_keebles_big_move
 Staying Alive,38,https://www.rottentomatoes.com/m/staying_alive
 Coneheads,37,https://www.rottentomatoes.com/m/coneheads
Firewall,37,https://www.rottentomatoes.com/m/firewall
Love Happens,37,https://www.rottentomatoes.com/m/love_happens
 The Scorpion King,37,https://www.rottentomatoes.com/m/scorpion_king
"10,000 BC",37,https://www.rottentomatoes.com/m/10000_bc
Quicksilver,37,https://www.rottentomatoes.com/m/quicksilver
Space Jam (1996),35,https://www.rottentomatoes.com/m/space_jam
The Crew,35,https://www.rottentomatoes.com/m/1099659-crew
Final Destination (2000),34,https://www.rottentomatoes.com/m/final_destination
 Little Fockers ,34, https://www.rottentomatoes.com/m/little_fockers
Ace Ventura: When Nature Calls (1995),33,https://www.rottentomatoes.com/m/ace_ventura_when_nature_calls
The Butterfly Effect (2004),33,https://www.rottentomatoes.com/m/butterfly_effect
 Balls of Fury ,32,https://www.rottentomatoes.com/m/balls_of_fury
Wet Hot American Summer (2001),31,https://www.rottentomatoes.com/m/wet_hot_american_summer
 My Super Ex-Girlfriend ,31,https://www.rottentomatoes.com/m/my_super_ex_girlfriend
White Noise,31,https://www.rottentomatoes.com/m/white_noise
Say it isn't so,31,https://www.rottentomatoes.com/m/say_it_isnt_so
Hook (1991) ,30,https://www.rottentomatoes.com/m/hook
Thinner,30,https://www.rottentomatoes.com/m/thinner
Heavy Weights,29,https://www.rottentomatoes.com/m/heavyweights/
 The Stepford Wives ,29,https://www.rottentomatoes.com/m/stepford_wives
The Jungle Book 2,29,https://www.rottentomatoes.com/m/jungle_book_2
Vampires Suck,29,https://www.rottentomatoes.com/m/vampires_suck
 Johnny Be Good ,29,https://www.rottentomatoes.com/m/johnny_be_good
Home on the Range,28,https://www.rottentomatoes.com/m/home_on_the_range
Not Another Teen Movie (2001),28,https://www.rottentomatoes.com/m/not_another_teen_movie
The Bachelor,28,https://www.rottentomatoes.com/m/1093976-bachelor
 The Bad News Bears Go to Japan,28,https://www.rottentomatoes.com/m/bad_news_bears_go_to_japan
Look Who's Talking Now,28,https://www.rottentomatoes.com/m/look_whos_talking_now
Joe somebody,27,https://www.rottentomatoes.com/m/joe_somebody
Chain Reaction,27,https://www.rottentomatoes.com/m/1072457_chain_reaction
 It's Pat ,27,https://www.rottentomatoes.com/m/its_pat
Supergirl,26,https://www.rottentomatoes.com/m/supergirl
 National Lampoon Presents Dorm Daze,26,https://www.rottentomatoes.com/m/dorm_daze
Halloween (2007) ,25,https://www.rottentomatoes.com/m/halloween_2018
Home Alone 2: Lost in New York (1992),24,https://www.rottentomatoes.com/m/home_alone_2_lost_in_new_york
JOHN CARPENTER'S Ghosts of Mars,24,https://www.rottentomatoes.com/m/john_carpenters_ghosts_of_mars
Bad Boys II (2003),23,https://www.rottentomatoes.com/m/bad_boys_ii
The Boondock Saints (1999),20,https://www.rottentomatoes.com/m/boondock_saints
Dungeons & Dragons ,19,https://www.rottentomatoes.com/m/dungeons_and_dragons
"Dude, Where's My Car? (2000)",18,https://www.rottentomatoes.com/m/dude_wheres_my_car
Fantastic Four (2015),18,https://www.rottentomatoes.com/m/fantastic_four
Inspector Gadget ,18,https://www.rottentomatoes.com/m/inspector_gadget
 Catwoman,18,https://www.rottentomatoes.com/m/catwoman
Jingle All The Way (1996),17,https://www.rottentomatoes.com/m/jingle_all_the_way
 Caddyshack II,17,https://www.rottentomatoes.com/m/caddyshack_2
Grandma's Boy (2006),16,https://www.rottentomatoes.com/m/grandmas_boy
 Jaws: The Revenge,14,https://www.rottentomatoes.com/m/jaws_the_revenge